date,temp_average,temp_max,curah_hujan,penyinaran_matahari,kelembaban_average,kec_angin_average,arah_angin_most,arah_angin,weather_encoded
26/08/2018,25.7,32.0,0.0,84,83,4.3,135.0,130,0
27/08/2018,28.0,33.2,0.0,90,80,5.8,135.0,120,0
28/08/2018,27.5,34.0,0.0,93,81,4.6,135.0,140,0
29/08/2018,26.3,30.4,13.1,3,89,2.9,135.0,150,2
30/08/2018,27.6,33.6,0.0,100,77,4.5,135.0,140,0
31/08/2018,24.7,28.6,10.5,8,79,4.4,135.0,290,2
01/09/2018,26.4,32.2,0.0,66,81,3.6,135.0,50,0
02/09/2018,26.7,32.4,2.0,88,82,4.5,135.0,150,1
03/09/2018,27.2,33.0,1.8,100,77,5.5,135.0,130,1
04/09/2018,27.3,31.7,9.0,19,81,5.9,180.0,120,2
05/09/2018,26.5,31.4,0.0,64,80,5.3,135.0,130,0
06/09/2018,27.4,32.2,0.0,69,79,5.8,135.0,150,0
07/09/2018,27.3,32.0,96.2,78,80,4.1,135.0,140,2
08/09/2018,25.8,30.8,1.4,34,87,4.7,135.0,150,1
09/09/2018,26.6,31.4,0.5,0,82,4.2,135.0,120,2
10/09/2018,25.6,31.8,1.4,100,82,5.3,135.0,120,2
11/09/2018,24.8,27.1,36.3,0,96,4.6,225.0,160,2
12/09/2018,26.8,32.0,0.0,91,78,4.6,135.0,160,0
13/09/2018,27.0,33.2,0.0,100,76,5.1,135.0,170,0
14/09/2018,27.3,32.4,0.0,100,76,5.8,135.0,140,0
15/09/2018,26.6,32.8,0.0,100,75,5.9,135.0,140,0
16/09/2018,26.4,32.2,0.0,94,76,4.6,135.0,140,0
17/09/2018,26.9,32.8,0.0,100,73,5.7,135.0,130,0
18/09/2018,26.8,32.8,0.1,61,78,6.3,135.0,150,1
19/09/2018,26.2,31.8,37.2,50,88,5.7,135.0,130,0
20/09/2018,27.6,31.8,1.2,96,89,5.1,135.0,150,2
21/09/2018,23.8,24.5,21.3,100,95,5.7,180.0,140,1
22/09/2018,28.3,32.5,2.2,69,80,6.1,135.0,120,1
23/09/2018,27.6,33.2,0.0,100,77,4.1,45.0,120,0
24/09/2018,28.1,33.4,0.0,95,74,6.2,135.0,210,0
25/09/2018,27.9,33.0,0.0,100,78,3.4,135.0,260,0
26/09/2018,27.4,32.8,0.1,74,82,4.3,135.0,130,2
27/09/2018,28.3,33.6,0.0,100,74,5.8,135.0,120,0
28/09/2018,28.0,33.9,0.0,100,72,4.6,135.0,140,0
29/09/2018,27.9,34.0,13.1,100,76,2.9,135.0,150,2
30/09/2018,27.9,33.3,0.0,100,78,4.5,135.0,140,0
01/10/2018,28.3,34.0,2.2,100,77,5.0,135.0,140,1
02/10/2018,28.3,34.0,0.0,100,76,4.8,135.0,130,0
03/10/2018,28.8,34.0,0.0,74,73,4.5,135.0,90,0
04/10/2018,28.6,33.5,0.0,90,78,5.3,135.0,130,0
05/10/2018,27.9,33.2,0.0,56,81,4.4,135.0,150,0
06/10/2018,28.8,34.6,0.0,100,73,4.2,135.0,130,0
07/10/2018,26.8,33.4,17.0,48,81,5.0,180.0,140,2
08/10/2018,25.8,30.8,3.8,13,88,3.7,180.0,160,2
09/10/2018,26.1,31.8,4.4,58,87,3.6,135.0,100,1
10/10/2018,27.1,31.6,2.2,65,85,3.8,90.0,50,1
11/10/2018,25.4,28.6,8.4,5,95,4.4,315.0,310,2
12/10/2018,25.7,30.4,4.7,28,89,4.7,180.0,290,1
13/10/2018,26.0,30.4,6.3,6,88,5.3,270.0,290,2
14/10/2018,24.9,27.0,2.2,0,89,3.3,180.0,340,1
15/10/2018,27.6,33.0,0.0,84,80,3.7,135.0,120,0
16/10/2018,28.2,33.5,0.0,63,75,4.8,135.0,140,0
17/10/2018,27.3,32.2,2.2,14,81,3.5,180.0,140,1
18/10/2018,25.3,28.6,0.5,5,93,3.7,180.0,350,1
19/10/2018,26.6,31.6,12.5,50,84,3.7,247.5,290,1
20/10/2018,27.4,34.0,8.9,70,82,4.3,135.0,70,2
21/10/2018,27.0,32.6,0.0,100,81,3.6,180.0,100,0
22/10/2018,27.5,33.3,2.2,48,84,4.4,180.0,130,1
23/10/2018,26.9,33.4,0.0,91,81,5.0,135.0,130,0
24/10/2018,26.8,32.6,9.5,84,83,4.7,180.0,210,1
25/10/2018,25.8,33.0,3.0,25,87,4.6,180.0,310,1
26/10/2018,27.9,32.8,0.0,98,84,3.6,45.0,90,0
27/10/2018,26.8,32.0,0.1,49,87,3.8,135.0,120,2
28/10/2018,26.5,32.0,12.0,38,89,4.1,270.0,260,2
29/10/2018,27.2,32.6,2.2,64,83,4.2,180.0,330,1
30/10/2018,26.0,31.2,36.0,15,75,4.3,247.5,300,2
31/10/2018,26.8,32.4,10.6,85,83,4.0,247.5,40,2
01/11/2018,26.3,31.2,13.1,34,87,4.5,270.0,330,2
02/11/2018,26.0,31.2,53.9,41,90,4.4,270.0,140,2
03/11/2018,26.6,32.5,4.8,81,86,3.6,135.0,150,1
04/11/2018,26.4,30.8,3.6,55,88,3.3,225.0,120,2
05/11/2018,26.4,33.0,29.2,78,88,3.7,270.0,360,2
06/11/2018,27.5,33.2,40.4,75,83,5.4,225.0,230,2
07/11/2018,26.5,30.2,0.0,13,87,3.4,315.0,300,0
08/11/2018,27.4,31.0,0.3,11,86,4.3,180.0,260,1
09/11/2018,26.3,31.0,0.0,31,88,4.2,135.0,190,0
10/11/2018,27.2,33.4,10.3,98,82,3.6,180.0,170,2
11/11/2018,26.9,31.2,6.0,35,86,3.4,315.0,260,2
12/11/2018,26.5,32.2,16.3,65,87,3.6,315.0,220,2
13/11/2018,26.5,30.8,0.0,29,86,3.1,135.0,270,0
14/11/2018,28.7,33.2,26.0,50,81,4.5,180.0,40,2
15/11/2018,26.4,30.0,2.2,0,89,2.9,45.0,330,1
16/11/2018,29.0,34.2,36.5,100,81,3.7,45.0,200,2
17/11/2018,27.1,34.4,0.6,90,84,3.6,135.0,80,2
18/11/2018,26.1,31.6,30.4,44,89,3.6,270.0,50,2
19/11/2018,26.6,31.8,0.2,63,85,3.9,180.0,120,2
20/11/2018,27.0,32.0,6.3,26,85,3.8,225.0,220,1
21/11/2018,26.5,31.9,2.1,25,82,4.4,270.0,310,1
22/11/2018,26.6,32.2,7.8,59,83,4.3,315.0,310,1
23/11/2018,27.5,32.8,18.6,86,82,4.6,180.0,170,2
24/11/2018,27.1,33.0,0.1,100,83,6.2,315.0,190,1
25/11/2018,27.4,32.4,5.8,61,83,3.1,135.0,320,2
